source,platform,company,board_url,last_status,last_error,board_id,first_seen_utc,last_seen_utc
dead_confirmed,greenhouse,Tableau,https://boards.greenhouse.io/tableau,404,HTTP 404 (board not found),greenhouse:tableau,2026-02-16T03:56:32.086913+00:00,2026-02-16T03:56:32.086913+00:00
dead_confirmed,greenhouse,TableCheck,https://boards.greenhouse.io/tablecheck,404,HTTP 404 (board not found),greenhouse:tablecheck,2026-02-16T03:56:32.212792+00:00,2026-02-16T03:56:32.212792+00:00
dead_confirmed,greenhouse,Tandem Diabetes,https://boards.greenhouse.io/tandemdiabetes,404,HTTP 404 (board not found),greenhouse:tandemdiabetes,2026-02-16T03:56:32.625979+00:00,2026-02-16T03:56:32.625979+00:00
dead_confirmed,greenhouse,TD Ameritrade,https://boards.greenhouse.io/tdameritrade,404,HTTP 404 (board not found),greenhouse:tdameritrade,2026-02-16T03:56:33.160197+00:00,2026-02-16T03:56:33.160197+00:00
dead_confirmed,greenhouse,Tealbook,https://boards.greenhouse.io/tealbook,404,HTTP 404 (board not found),greenhouse:tealbook,2026-02-16T03:56:33.364069+00:00,2026-02-16T03:56:33.364069+00:00
dead_confirmed,greenhouse,Teampay,https://boards.greenhouse.io/teampay,404,HTTP 404 (board not found),greenhouse:teampay,2026-02-16T03:56:33.557862+00:00,2026-02-16T03:56:33.557862+00:00
dead_confirmed,greenhouse,TechSmith,https://boards.greenhouse.io/techsmith,404,HTTP 404 (board not found),greenhouse:techsmith,2026-02-16T03:56:33.667047+00:00,2026-02-16T03:56:33.667047+00:00
dead_confirmed,greenhouse,TED,https://boards.greenhouse.io/ted,404,HTTP 404 (board not found),greenhouse:ted,2026-02-16T03:56:33.775547+00:00,2026-02-16T03:56:33.775547+00:00
dead_confirmed,greenhouse,Tegus,https://boards.greenhouse.io/tegus,404,HTTP 404 (board not found),greenhouse:tegus,2026-02-16T03:56:33.885979+00:00,2026-02-16T03:56:33.885979+00:00
dead_confirmed,greenhouse,Telemetry,https://boards.greenhouse.io/telemetry,404,HTTP 404 (board not found),greenhouse:telemetry,2026-02-16T03:56:34.391929+00:00,2026-02-16T03:56:34.391929+00:00
dead_confirmed,greenhouse,Ten,https://boards.greenhouse.io/ten,404,HTTP 404 (board not found),greenhouse:ten,2026-02-16T03:56:34.560592+00:00,2026-02-16T03:56:34.560592+00:00
dead_confirmed,greenhouse,Tendril,https://boards.greenhouse.io/tendril,404,HTTP 404 (board not found),greenhouse:tendril,2026-02-16T03:56:34.815246+00:00,2026-02-16T03:56:34.815246+00:00
dead_confirmed,greenhouse,Tenovos,https://boards.greenhouse.io/tenovos,404,HTTP 404 (board not found),greenhouse:tenovos,2026-02-16T03:56:34.921766+00:00,2026-02-16T03:56:34.921766+00:00
dead_confirmed,greenhouse,Teradata,https://boards.greenhouse.io/teradata,404,HTTP 404 (board not found),greenhouse:teradata,2026-02-16T03:56:35.122464+00:00,2026-02-16T03:56:35.122464+00:00
dead_confirmed,greenhouse,Terraform,https://boards.greenhouse.io/terraform,404,HTTP 404 (board not found),greenhouse:terraform,2026-02-16T03:56:35.224934+00:00,2026-02-16T03:56:35.224934+00:00
dead_confirmed,greenhouse,Tesla,https://boards.greenhouse.io/tesla,404,HTTP 404 (board not found),greenhouse:tesla,2026-02-16T03:56:35.324466+00:00,2026-02-16T03:56:35.324466+00:00
dead_confirmed,greenhouse,Tether,https://boards.greenhouse.io/tether,404,HTTP 404 (board not found),greenhouse:tether,2026-02-16T03:56:35.609786+00:00,2026-02-16T03:56:35.609786+00:00
dead_confirmed,greenhouse,Tetra Tech,https://boards.greenhouse.io/tetratech,404,HTTP 404 (board not found),greenhouse:tetratech,2026-02-16T03:56:35.729776+00:00,2026-02-16T03:56:35.729776+00:00
dead_confirmed,greenhouse,The Meet Group,https://boards.greenhouse.io/themeetgroup,404,HTTP 404 (board not found),greenhouse:themeetgroup,2026-02-16T03:56:36.171426+00:00,2026-02-16T03:56:36.171426+00:00
dead_confirmed,greenhouse,Theorem,https://boards.greenhouse.io/theorem,404,HTTP 404 (board not found),greenhouse:theorem,2026-02-16T03:56:36.447133+00:00,2026-02-16T03:56:36.447133+00:00
